"COLLISION_ID","CRASH_DATE","CRASH_TIME","BOROUGH","ZIP_CODE","LATITUDE","LONGITUDE","LOCATION","ON_STREET_NAME","CROSS_STREET_NAME","NUMBER_OF_PERSONS_INJURED","NUMBER_OF_PERSONS_KILLED","NUMBER_OF_PEDESTRIANS_INJURED","NUMBER_OF_PEDESTRIANS_KILLED","NUMBER_OF_CYCLIST_INJURED","NUMBER_OF_CYCLIST_KILLED","NUMBER_OF_MOTORIST_INJURED","NUMBER_OF_MOTORIST_KILLED","CONTRIBUTING_FACTOR_VEHICLE_1","VEHICLE_TYPE_CODE_1","VEHICLE_TYPE_CODE_2","CRASH_YEAR","CRASH_MONTH"
4407548,"2021-04-14","10:40","BROOKLYN",11201,40.694794,-73.98246,"40.694794, -73.98246","PRINCE STREET","JOHNSON STREET",1,0,0,0,0,0,1,0,"Failure to Yield Right-of-Way","Taxi","Sedan",2021,4
4407820,"2021-04-16","8:30","BROOKLYN",11228,40.614063,-74.01393,"40.614063, -74.01393","86 STREET","13 AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Trailer","Station Wagon/Sport Utility Vehicle",2021,4
4408150,"2021-04-16","18:50","BROOKLYN",11218,40.633152,-73.97762,"40.633152, -73.97762","AVENUE F","MC DONALD AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Sedan","Bike",2021,4
4407842,"2021-04-16","15:23","BROOKLYN",11228,40.612736,-74.01172,"40.612736, -74.01172","14 AVENUE","86 STREET",1,0,0,0,0,0,1,0,"Following Too Closely","Sedan","Sedan",2021,4
4407673,"2021-04-15","17:55","BROOKLYN",11249,40.70166,-73.961464,"40.70166, -73.961464","WILLIAMSBURG STREET WEST","WYTHE AVENUE",2,0,0,0,0,0,2,0,"Pavement Slippery","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",2021,4
4407278,"2021-04-14","0:42","MANHATTAN",10035,40.80641,-73.94227,"40.80641, -73.94227","EAST 125 STREET","5 AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Taxi","Sedan",2021,4
4408367,"2021-04-15","18:36","BROOKLYN",11224,40.576626,-73.98478,"40.576626, -73.98478","MERMAID AVENUE","WEST 17 STREET",2,0,0,0,0,0,2,0,"Driver Inattention/Distraction","Sedan","Sedan",2021,4
4407313,"2021-04-14","13:45","BROOKLYN",11214,40.60118,-73.99098,"40.60118, -73.99098","85 STREET","23 AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Sedan","Sedan",2021,4
4407396,"2021-04-14","19:46","BROOKLYN",11220,40.64721,-74.01531,"40.64721, -74.01531","51 STREET","3 AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",2021,4
4408308,"2021-04-14","21:00","BROOKLYN",11216,40.69097,-73.94833,"40.69097, -73.94833","MARCY AVENUE","KOSCIUSZKO STREET",2,0,0,0,0,0,2,0,"Following Too Closely","Sedan","Station Wagon/Sport Utility Vehicle",2021,4
4408359,"2021-04-09","12:00","BROOKLYN",11249,40.70166,-73.961464,"40.70166, -73.961464","WILLIAMSBURG STREET WEST","WYTHE AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Sedan","Dump",2021,4
4407816,"2021-04-16","10:05","BROOKLYN",11220,40.64606,-74.01648,"40.64606, -74.01648","3 AVENUE","53 STREET",1,0,0,0,0,0,1,0,"Brakes Defective","Pick-up Truck","Pick-up Truck",2021,4
4407543,"2021-04-15","8:23","QUEENS",11423,40.72119,-73.761185,"40.72119, -73.761185","FOOTHILL AVENUE","204 STREET",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Sedan","Station Wagon/Sport Utility Vehicle",2021,4
4408093,"2021-04-15","12:30","BRONX",10475,40.86832,-73.83317,"40.86832, -73.83317","BARTOW AVENUE","EDSON AVENUE",0,0,0,0,0,0,0,0,"Oversized Vehicle","Sedan","Tractor Truck Diesel",2021,4
4408113,"2021-03-20","15:58","BROOKLYN",11205,40.695004,-73.9525,"40.695004, -73.9525","NOSTRAND AVENUE","MYRTLE AVENUE",0,0,0,0,0,0,0,0,"Passing Too Closely","Station Wagon/Sport Utility Vehicle","Sedan",2021,3
4407923,"2021-04-16","8:41","QUEENS",11385,40.704563,-73.91066,"40.704563, -73.91066","MENAHAN STREET","SENECA AVENUE",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle","Sedan",2021,4
4407741,"2021-04-14","0:00","BROOKLYN",11207,40.66944,-73.883995,"40.66944, -73.883995","BLAKE AVENUE","ASHFORD STREET",1,0,0,0,0,0,1,0,"Traffic Control Disregarded","Station Wagon/Sport Utility Vehicle","Sedan",2021,4
4407647,"2021-04-14","15:05","BROOKLYN",11201,40.69349,-73.97917,"40.69349, -73.97917","MYRTLE AVENUE","ASHLAND PLACE",1,0,0,0,1,0,0,0,"Unspecified","Station Wagon/Sport Utility Vehicle","Bike",2021,4
4407604,"2021-04-15","12:17","MANHATTAN",10016,40.74708,-73.98135,"40.74708, -73.98135","PARK AVENUE","EAST 34 STREET",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Sedan","Concrete Mixer",2021,4
4407380,"2021-04-14","19:15","QUEENS",11385,40.70399,-73.85589,"40.70399, -73.85589","WOODHAVEN BOULEVARD","82 AVENUE",0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Station Wagon/Sport Utility Vehicle","Multi-Wheeled Vehicle",2021,4
